Epoch 83: Loss=374.3581 | Train Acc=79.96% | Test Acc=77.13%
Epoch 84: Loss=374.1680 | Train Acc=80.25% | Test Acc=77.04%
Epoch 85: Loss=374.0216 | Train Acc=80.15% | Test Acc=77.28%
Epoch 86: Loss=373.8977 | Train Acc=80.34% | Test Acc=76.90%
Epoch 87: Loss=373.4486 | Train Acc=80.11% | Test Acc=71.16%
Epoch 88: Loss=373.1464 | Train Acc=80.15% | Test Acc=67.28%
Epoch 89: Loss=374.0452 | Train Acc=80.10% | Test Acc=74.93%
Epoch 90: Loss=373.7732 | Train Acc=80.21% | Test Acc=77.77%
Epoch 91: Loss=373.5579 | Train Acc=80.23% | Test Acc=78.44%
Epoch 92: Loss=373.6198 | Train Acc=80.21% | Test Acc=78.39%
Epoch 93: Loss=371.5366 | Train Acc=80.43% | Test Acc=74.94%
Epoch 94: Loss=372.5004 | Train Acc=80.48% | Test Acc=77.38%
Epoch 95: Loss=372.6670 | Train Acc=80.27% | Test Acc=78.27%
Epoch 96: Loss=370.3749 | Train Acc=80.67% | Test Acc=75.48%
Epoch 97: Loss=372.9491 | Train Acc=80.32% | Test Acc=80.18%
Epoch 98: Loss=373.4304 | Train Acc=80.30% | Test Acc=75.41%
Epoch 99: Loss=371.8708 | Train Acc=80.33% | Test Acc=75.48%
Epoch 100: Loss=371.4183 | Train Acc=80.41% | Test Acc=71.95%
Epoch 101: Loss=370.7739 | Train Acc=80.65% | Test Acc=70.00%
Epoch 102: Loss=371.1967 | Train Acc=80.46% | Test Acc=72.52%
Epoch 103: Loss=371.0276 | Train Acc=80.54% | Test Acc=78.94%
Epoch 104: Loss=369.3533 | Train Acc=80.77% | Test Acc=54.23%
Epoch 105: Loss=370.3571 | Train Acc=80.64% | Test Acc=71.99%
Epoch 106: Loss=368.4249 | Train Acc=80.80% | Test Acc=78.22%
Epoch 107: Loss=369.5013 | Train Acc=80.76% | Test Acc=77.12%
Epoch 108: Loss=369.6126 | Train Acc=80.71% | Test Acc=76.93%
Epoch 109: Loss=369.2048 | Train Acc=80.64% | Test Acc=77.22%
Epoch 110: Loss=370.4474 | Train Acc=80.52% | Test Acc=78.58%
Epoch 111: Loss=367.7520 | Train Acc=80.66% | Test Acc=79.00%
Epoch 112: Loss=367.9342 | Train Acc=80.80% | Test Acc=78.00%
Epoch 113: Loss=368.1096 | Train Acc=80.88% | Test Acc=79.18%
Epoch 114: Loss=365.9382 | Train Acc=81.15% | Test Acc=78.63%
Epoch 115: Loss=367.0138 | Train Acc=81.00% | Test Acc=77.18%
Epoch 116: Loss=365.8481 | Train Acc=81.07% | Test Acc=79.04%
Epoch 117: Loss=364.5518 | Train Acc=81.22% | Test Acc=78.89%
Epoch 118: Loss=365.5787 | Train Acc=80.95% | Test Acc=68.73%
Epoch 119: Loss=365.0239 | Train Acc=81.24% | Test Acc=76.52%
Epoch 120: Loss=365.1007 | Train Acc=81.20% | Test Acc=73.05%
Epoch 121: Loss=361.3133 | Train Acc=81.53% | Test Acc=79.86%
Epoch 122: Loss=363.3985 | Train Acc=81.33% | Test Acc=73.35%
Epoch 123: Loss=363.6792 | Train Acc=81.32% | Test Acc=80.70%
Epoch 124: Loss=361.6739 | Train Acc=81.51% | Test Acc=68.43%
Epoch 125: Loss=361.7069 | Train Acc=81.54% | Test Acc=78.63%
Epoch 126: Loss=362.1819 | Train Acc=81.53% | Test Acc=80.01%
Epoch 127: Loss=360.7180 | Train Acc=81.77% | Test Acc=78.28%
Epoch 128: Loss=362.1416 | Train Acc=81.57% | Test Acc=76.34%
Epoch 129: Loss=359.0877 | Train Acc=81.82% | Test Acc=78.91%
Epoch 130: Loss=359.3523 | Train Acc=81.73% | Test Acc=79.52%
Epoch 131: Loss=359.1706 | Train Acc=81.81% | Test Acc=77.19%
Epoch 132: Loss=360.7749 | Train Acc=81.73% | Test Acc=80.43%
Epoch 133: Loss=357.0033 | Train Acc=82.02% | Test Acc=78.22%
Epoch 134: Loss=357.2435 | Train Acc=82.05% | Test Acc=77.92%
Epoch 135: Loss=357.8992 | Train Acc=81.81% | Test Acc=80.16%
Epoch 136: Loss=357.0058 | Train Acc=82.11% | Test Acc=79.00%
Epoch 137: Loss=357.0442 | Train Acc=81.93% | Test Acc=78.39%
Epoch 138: Loss=354.9927 | Train Acc=82.29% | Test Acc=80.99%
Epoch 139: Loss=355.2739 | Train Acc=82.36% | Test Acc=76.59%
Epoch 140: Loss=357.7620 | Train Acc=81.97% | Test Acc=80.62%
Epoch 141: Loss=355.8357 | Train Acc=82.06% | Test Acc=78.62%
Epoch 142: Loss=355.1024 | Train Acc=82.05% | Test Acc=78.51%
Epoch 143: Loss=354.0827 | Train Acc=82.21% | Test Acc=82.25%
Epoch 144: Loss=352.1381 | Train Acc=82.66% | Test Acc=74.02%
Epoch 145: Loss=353.7751 | Train Acc=82.41% | Test Acc=81.11%
